id;nom;description;date_creation;date_modification;date_suppression
1;intuitive Frozen;middleware program;2021-10-03;2021-10-03;2021-10-04
2;Saint-Séverin ADP;deploy connecting;2021-10-03;2021-10-04;2021-10-03
3;c Car Tuna;Fantastic calculate indigo;2021-10-03;2021-10-03;2021-10-04
4;Malte Intelligent infrastructure;Baht Zadkine;2021-10-03;2021-10-03;2021-10-03
5;orchid;Somoni Saint-Bernard maroon;2021-10-04;2021-10-04;2021-10-03
6;AI supply-chains Plastic;orange overriding b;2021-10-04;2021-10-04;2021-10-03
7;forecast Intelligent;Loan;2021-10-03;2021-10-03;2021-10-04
8;Sterling;a grey Granite;2021-10-04;2021-10-03;2021-10-04
9;Designer;Nicaragua Steel fuchsia;2021-10-04;2021-10-03;2021-10-03
10;ability Designer modular;Practical firewall;2021-10-04;2021-10-03;2021-10-04
