id;quantite;provider;statut;date_creation;date_modification
1;92973;Salad Hat;Superviseur analyzer;2021-10-04;2021-10-04
2;40003;Frozen;Kwanza niches Somoni;2021-10-03;2021-10-04
3;32253;a;Saint-Jacques;2021-10-03;2021-10-03
4;42857;well-modulated;a Ball grid-enabled;2021-10-04;2021-10-03
5;3620;teal paradigms;Cedi;2021-10-04;2021-10-03
6;42304;b;facilitate JSON payment;2021-10-04;2021-10-03
7;65696;CSS Namibie;Down-sized haptic;2021-10-03;2021-10-03
8;35339;reintermediate;invoice Architecte value-added;2021-10-04;2021-10-04
9;10896;payment Aquitaine;leading-edge;2021-10-03;2021-10-03
10;42921;primary a;lime;2021-10-04;2021-10-04
