id;nom;description;sku;prix;reduction_id;date_creation;date_modification;date_suppression
1;conglomeration Table driver;../fake-data/blob/hipster.txt;Assimilated compress Cambridgeshire;87545;86858;2021-10-03;2021-10-03;2021-10-04
2;Avon b;../fake-data/blob/hipster.txt;SAS Namibie;45380;91449;2021-10-03;2021-10-04;2021-10-04
3;Enterprise-wide morph;../fake-data/blob/hipster.txt;calculate Chili;63084;16952;2021-10-03;2021-10-03;2021-10-04
4;Jewelery integrate;../fake-data/blob/hipster.txt;paradigms;85581;77324;2021-10-03;2021-10-03;2021-10-03
5;Practical;../fake-data/blob/hipster.txt;emulation;51676;60225;2021-10-04;2021-10-03;2021-10-04
6;Nord-Pas-de-Calais SMTP array;../fake-data/blob/hipster.txt;override Chair;74623;5889;2021-10-04;2021-10-04;2021-10-04
7;a salmon;../fake-data/blob/hipster.txt;metrics Multi-channelled;41489;49939;2021-10-04;2021-10-04;2021-10-04
8;transmitting;../fake-data/blob/hipster.txt;Outdoors turquoise back-end;42856;14611;2021-10-03;2021-10-04;2021-10-04
9;architecture;../fake-data/blob/hipster.txt;Steel Bedfordshire;27024;11196;2021-10-04;2021-10-03;2021-10-04
10;application Music;../fake-data/blob/hipster.txt;Borders orchid Trinité-et-Tobago;633;25456;2021-10-04;2021-10-04;2021-10-03
