id;nom;description;pourcentage_reduction;actif;date_creation;date_modification;date_suppression
1;hard Health 24/7;programming ivory;19456;false;2021-10-03;2021-10-04;2021-10-04
2;Rustic Berkshire;Bedfordshire;22405;true;2021-10-04;2021-10-04;2021-10-04
3;conglomeration Account parse;mindshare;56153;true;2021-10-04;2021-10-03;2021-10-04
4;payment;withdrawal Robust hacking;22140;true;2021-10-03;2021-10-03;2021-10-04
5;Charlemagne data-warehouse protocol;a protocol;46049;true;2021-10-03;2021-10-04;2021-10-03
6;Limousin;vortals matrix;93374;false;2021-10-04;2021-10-04;2021-10-04
7;Refined Chair Dauphine;initiatives mobile;61383;false;2021-10-03;2021-10-03;2021-10-03
8;Moroccan Tanzanian;parse Metal Towels;74544;false;2021-10-04;2021-10-04;2021-10-04
9;Directeur Account;Soft;74600;true;2021-10-03;2021-10-03;2021-10-03
10;Centre Franche-Comté action-items;bleeding-edge synergies;12888;true;2021-10-04;2021-10-03;2021-10-04
